id,date,content,username,retweet_counter,favorite_count,reply_count,user_followers_count,country
1356858529143873536,2021-02-03 06:54:17+00:00,"Students are paid. Protestors are paid. Farmers are paid. Now, Rihanna is paid as well. You’d require quite the budget for her. She is worth USD 600 mil according to Forbes. Just saying. #FarmersProtest",darrencaldeira,10629,37995,556,5119,
1356856474446692352,2021-02-03 06:46:07+00:00,"जवाब दो ✊🏻✊🏻 #Farmer 
#किसान_आंदोलन #FarmersProtest #किसान_एकता_जिंदाबाद https://t.co/fJZH4g6692",UrmilaMatondkar,7695,23701,1796,117465,
1356849720803557376,2021-02-03 06:19:17+00:00,"Being a climate activists, it’s our moral obligation to support our farmers. 

They’re already the victims of climate change. #FarmersProtest",LicypriyaK,6080,20752,480,128883,"New Delhi, India"
1356848397899112448,2021-02-03 06:14:01+00:00,"“Paid actors,” huh? Quite the casting director, I hope they’re not overlooked during awards season. I stand with the farmers. #FarmersProtest https://t.co/moONj03tN0",miakhalifa,35907,139898,15568,3654901,"Austin, TX"
1356847762567012353,2021-02-03 06:11:30+00:00,The people united will never be defeated #FarmersProtest,vanessa_vash,7296,24937,386,207747,Planet Earth 🌍 
1356837036288659464,2021-02-03 05:28:52+00:00,"Solidarity and love for my people.

I stand with farmers.

Stay peaceful, united and never back down.

#FarmersProtest https://t.co/3vowIIGOpe",beatsbynav,9800,34027,695,811770,Toronto
1356827705161879553,2021-02-03 04:51:48+00:00,What in the human rights violations is going on?! They cut the internet around New Delhi?! #FarmersProtest https://t.co/a5ml1P2ikU,miakhalifa,26955,99188,9075,3654901,"Austin, TX"
1356827662858162176,2021-02-03 04:51:38+00:00,"Tejasvi Surya can comment cheaply on Arab Women. Bhakts even defend him.

Modi can comment on protests in US Capitol Building. Bhakts call him a statesman.

But Rihanna can't comment on #FarmersProtest as it's an 'Internal matter'🙄

Bhakts have a PhD in Hypocrisy",srivatsayb,3953,12986,271,222921,Bengaluru
1356821547978162178,2021-02-03 04:27:20+00:00,"Rihanna doesn't know.
Greta doesn't know.
Trudeau doesn't know.
Diljit doesn't know.
Human rights activists don't know.
NYT, CNN, WaPo don't know.
And farmers *definitely* don't know what they are talking about.

Only Kangana knows &amp; she's always right, hai na? 👏
#FarmersProtest",tanejamainhoon,11782,46353,1022,24682,Mumbai
1356752748889452544,2021-02-02 23:53:57+00:00,"It is important that the world stand in solidarity with Indian farmers!

Farmers are on the frontlines of the climate crisis. Without farmers, there is no food.

Please support the #FarmersProtest! 

#FarmersProtestIndia #IStandWithFarmers #supportfarmerprotest #supportfarmers https://t.co/9YDn2zutcG",Jamie_Margolin,9616,23519,1277,55791,"New York, USA"
1356744585247088640,2021-02-02 23:21:30+00:00,farmers and farm workers started the most powerful revolution to ever challenge modi’s fascist government. our people started protesting in punjab as early as july 2020. they marched to delhi november 27 and have been sleeping on the streets since. #farmersprotest,rupikaur_,4296,12512,198,272886,
1356737481857785858,2021-02-02 22:53:17+00:00,"The unfolding events in India are troubling. As a member of the Foreign Affairs Committee, I am closely monitoring the situation. The right to peaceful protest must always be respected. #FarmersProtest",RepJimCosta,13873,38954,2042,27805,
1356724275382792196,2021-02-02 22:00:48+00:00,#humanrights #FarmersProtest https://t.co/AbFzVxKrIS,AmandaCerny,13319,50218,2058,1131254,"Florida, USA"
1356719888769953792,2021-02-02 21:43:22+00:00,"The #FarmersProtest is the largest protest in human history. 

Watch to get a sense of its magnitude.
https://t.co/5psRALWtAk",simran,3386,7398,90,92961,New York I Texas I Punjab
1356715312880775170,2021-02-02 21:25:11+00:00,"Boom 

We’re taking this to parliament. The petition has reached 100,000 &amp; qualifies for a debate in Parliament

#FarmersProtest https://t.co/B6nh7NqUoZ",ClaudiaWebbe,4389,9982,1308,44202,"Leicester, England"
