created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,text_processed
2021-03-22 05:07:49,"Nice!! Read this thread of tweets.. 

Sab Kuch te uda ta bjp sarkar ne.. 

#23March_किसानों_के_साथ
#FarmersProtest https://t.co/JVwIauZC0L",7,13,NavJammu,1488,False,nice read thi thread tweet kuch sarkar
2021-03-22 05:05:50,"accept death but not defeat

#23March_किसानों_के_साथ #FarmersProtest",4,2,singh_harry07,398,False,accept death defeat
2021-03-22 05:05:47,"A declaration of triump ""BoleSoNihal-SatShriAkal""

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/ET5y8QiWpV",1,1,AntardeepK,28,False,declar triump bolesonih satshriak
2021-03-22 04:58:00,"Remember or forgot, who they were???

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/6GK7cXMOep",0,0,AntardeepK,28,False,rememb forgot they were
2021-03-22 04:57:11,"Are you with Farmers??

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/mYfu61Y4eS",0,1,AntardeepK,28,False,with
2021-03-22 04:51:44,"If you wanna make the world a better place, take a look at yourself, then make that change.

#23March_किसानों_के_साथ 
#FarmersProtest",5,5,singh_harry07,398,False,wanna make world better place take look yourself then make that chang
2021-03-22 04:51:10,"vacation is done but I'm not finished,

#23March_किसानों_के_साथ 
#FarmersProtest",8,11,singh_harry07,398,False,vacat done finish
2021-03-22 04:51:08,Canada coming out with so many protests this weekend✊🏾 #FarmersProtest #23March_किसानों_के_साथ #FarmersProtests https://t.co/Uiv3RAeBJf,2,8,B56Ricky,106,False,canada come with mani thi weekend
2021-03-22 04:50:41,"Is it time to buy ITC and PSU stocks like BPCL, BEL or NMDC? - Economic Times#farmers #farmersprotest",0,0,ShivinderST,17,False,time stock like bpcl nmdc econom time
2021-03-22 04:50:41,Innovative technologies at the helm of a digitally connected India - Economic Times#farmers #farmersprotest,0,0,ShivinderST,17,False,innov technolog helm digit connect india econom time
2021-03-22 04:45:49,"26\11 attack        -    166 civillians died
Farmer protest    -   248 civillians died
#FarmersProtest https://t.co/p9yu4RuIix",0,1,AnkitRa01657289,1,False,26\11 attack civillian die civillian die
2021-03-22 04:43:54,"We will not go without winning,We have full courage-see the spirit of (Niranjan Singh) Bappu ji
#FarmersProtest https://t.co/bkKtV2uIZH",0,6,SAHIB__KAUR,4080,False,will without win have full courag spirit (niranjan singh) bappu
