related_id,id,created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,country
1357965078373388289,1358118651149361161,2021-02-06 18:21:33+00:00,"@PhogatRitu we are happy that you are in support of our #Farmers ....
But your sis @BabitaPhogat , is she a #Spineless #Sellebrity ... 
We #Indians are ashamed of her . https://t.co/LPmEa4Pqn9",0,0,LoveThattukada,61,False,Mariana Trench 
1357965078373388289,1358064286711513093,2021-02-06 14:45:32+00:00,@PhogatRitu Thanku ji..#KisaanmazdoorEktaZindabaad #FarmerProtest https://t.co/pmyqCKHjZW,0,0,RvSingh85816838,4,False,
1357965078373388289,1358060461175025667,2021-02-06 14:30:20+00:00,@PhogatRitu thank you support for farmers 🙏🙏🙏 #FarmersProtest https://t.co/np4cULOIJl,0,0,vickybling888,41,False,"Punjab, India"
1357965078373388289,1358030891046424578,2021-02-06 12:32:50+00:00,@PhogatRitu thank you 🙏🙏 you are real life champ 💪 https://t.co/psgwCLCRm1,0,0,randhawa_sukhh,20,False,"Jalandhar, India"
1357965078373388289,1358029426697506821,2021-02-06 12:27:00+00:00,@PhogatRitu https://t.co/14fRNNoDrR,0,0,sushilnirbhed,1334,False,"New Delhi, India."
1357965078373388289,1358021349818593286,2021-02-06 11:54:55+00:00,"@PhogatRitu is sister of @BabitaPhogat isn't it?

Both having same parents, same profession but if u talk about humanity she is not same. Younger leads here by a lot. #FarmersProtests https://t.co/s91QznkYaR",1,1,lalitlma99,526,False,
1357965078373388289,1358019615838801920,2021-02-06 11:48:01+00:00,"@PhogatRitu हवा बदल रही है?
https://t.co/mwwriJjCFN",0,0,HaridwarSanjeev,3336,False,
1357965078373388289,1358011585441193986,2021-02-06 11:16:07+00:00,@PhogatRitu Good to see you on Right Side. We must stand with farmers. #FarmersProtest #IStandWithFarmers #FarmersAreIndia https://t.co/ZBNFgSeDM8,0,0,Hasan74558482,620,False,India
1357903782324047872,1357924666770219008,2021-02-06 05:30:44+00:00,"@DChaurasia2312 आज फिर धूप निकल गयी
नहा ले कौए 
https://t.co/d3DopGboCS",0,1,smacsingle75,5197,False,"Delhi, India"
1357903782324047872,1357905172895129600,2021-02-06 04:13:16+00:00,"@DChaurasia2312 हम भी यहाँ तेल पिलाये लट्ठ में ग्रीस लगा कर आंदोलन करने वालों के इंतजार में बैठे हैं ! 
https://t.co/Py0Z9NUlrU",2,4,ersksh,267,False,Rourkela
1357848864556998660,1358287738303361024,2021-02-07 05:33:27+00:00,"@PiperPerabo thank you for showing your support 

#FarmersProtest #HumanRights #ReleaseNodeepKaur 
#HumanRights 
@ap @cnn
@SkyNews @BBCWorld @BBCNews 
@Reuters @AJEnglish https://t.co/8SXptyWb9F",0,0,BitnamSingh,134,False,UK
1357848864556998660,1358073078975184896,2021-02-06 15:20:28+00:00,"@PiperPerabo Thank you for your tweet and support, you are a lovely actress.   #FarmersProtest #HumanRightsViolationsAgainstFarmers #ShameOnYouIndia https://t.co/HQCVwqcI1x",0,0,PamSidhuMahal,77,False,
1357848864556998660,1358057715541676032,2021-02-06 14:19:25+00:00,@PiperPerabo 🙏🏼🙏🏼 ❤️ #FarmersProtest https://t.co/NJOkVQDUbv,0,0,RamneetPB29,7,False,
1357848864556998660,1357976738958082052,2021-02-06 08:57:39+00:00,"@PiperPerabo ❤️❤️
#FarmersProtest 
#IndiaSupportsChakkaJaam https://t.co/6PCv5KTW1o",0,1,Hardeep58668995,122,False,
1357848864556998660,1357969181728075776,2021-02-06 08:27:37+00:00,"@PiperPerabo  thank you for supporting #FarmersProtest 
Yes Indian government scared . But please keep supporting us . Thank you so much . https://t.co/c6shG9LFTf",0,0,RoxesBhatti,2,False,
1357848864556998660,1357938252573933568,2021-02-06 06:24:43+00:00,"@PiperPerabo @rihanna @GretaThunberg @meenaharris 

How abt showing sum b@ll$ towards this?

https://t.co/tErJbgviYj?
 Worry about them first #StopWhiteImperialism

@WSJ @nytimes @washingtonpost @CNN @timesofindia @dna @htTweets @republic 

#IndiaRejectsPropaganda #IndiaWithModi https://t.co/5EQEj3B4Yu https://t.co/9iAsn8ywWC",0,0,Winner2008,5,False,Mars
1357848864556998660,1357912645186240520,2021-02-06 04:42:58+00:00,"@PiperPerabo 

Well done for getting behind this issue. 

Indian Government behaviour seems to be straight out of the Totalitarian &amp; Authoritarian Playbooks.

@Lilly 

From @SusanSarandon:

https://t.co/Ku7wQjaWyk

From @GretaThunberg:

https://t.co/6EyUymGduG

#FarmersProtests https://t.co/cHmwxvLQTG",0,0,MaximusDGladius,24,False,"Rome, Lazio"
1357768519430070276,1359213577018695681,2021-02-09 18:52:24+00:00,"@SusanSarandon  🙏🏻 

#Farmersprotest https://t.co/dRnMiFCVD7",0,0,themightysingh1,105,False,London
1357768519430070276,1358457443546636289,2021-02-07 16:47:48+00:00,@SusanSarandon Thanks for Soppourt https://t.co/v2GQ35fhud,0,0,sahnawaz_sunny,662,False,"Assam, India"
1357768519430070276,1358353875045146631,2021-02-07 09:56:15+00:00,@SusanSarandon china killed millions of people all over the world by spreading covid19. Please do talk about it. If you wish to know about farm laws of India then I am open to talk with with you. https://t.co/0lFtIlTuja,0,0,shyamlucky,775,False,Toronto Canada
1357768519430070276,1358325034733850625,2021-02-07 08:01:39+00:00,@SusanSarandon thank you so much for standing up for humanity. #IndianFarmersHumanRights #indianfarmerlivesmatter #FarmersProtest #ReleaseNodeepKaur #bjpgaslighting  #BJPdestroysDemocracy #BJPGoonsAttackingFarmers https://t.co/IIuNkOqewZ,0,0,winner365,26,False,
1357768519430070276,1358166163016982528,2021-02-06 21:30:21+00:00,"@SusanSarandon is such a legend!

She consistently backs @SenSanders &amp; the progressive resistance against establishment Dems &amp; Reps

Now she expresses solidarity w/ the farmers’ protests here in India

You are an activist &amp; actor worthy of so much respect, Madam. Keep inspiring! https://t.co/925R6CN9ea",0,0,ChetanAhimsa,10170,False,"Bengaluru, India"
1357768519430070276,1358122967293710336,2021-02-06 18:38:42+00:00,@SusanSarandon joins the protest against @narendramodi. Only if we can get @JoeBiden administration to join in. #ModiGlobalDisaster #FarmersStandingFirm https://t.co/4fI1wlYjy6,0,0,KashThis,1188,False,"Dallas, TX"
