date,user,location,text
2021-03-05 16:24:00,BiKhnhHuyn7,,"@ngoctien_army @quynhflowerrr Umm
RACISM IS NOT AN OPINION
#Matuschik_OUT
#NOtoRacism
#NEINzuRassismus
#MatuschikOut
#MatuschikMussWeg"
2021-03-05 16:23:20,ArmyBts79462831,,"https://t.co/03zIKQc6Sr
RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper mehrad hidden saying h… https://t.co/Gucl40QzM5"
2021-03-05 16:23:14,BiKhnhHuyn7,,"@KimJeBye1 @quynhflowerrr RACISM IS NOT AN OPINION
#Matuschik_OUT
#NOtoRacism
#NEINzuRassismus
#MatuschikOut
#MatuschikMussWeg"
2021-03-05 16:23:01,BiKhnhHuyn7,,"@WonYeonAh_12157 @quynhflowerrr RACISM IS NOT AN OPINION
#Matuschik_OUT
#NOtoRacism
#NEINzuRassismus
#MatuschikOut
#MatuschikMussWeg"
2021-03-05 16:22:39,thisis_ke,,"When can we see the end of racism?
They disrespect everything no matter what it is.
#NOtoRacism 
#Army_help 
@bts_bighit 
@BTS_twt 
#bts"
2021-03-05 16:21:30,MinMintlia,,"Watch this video....
 https://t.co/AHvGvTYMJt @YouTube #BTS_rights
#BTSArmy
#BTSArmy_help
#Army_help
#NOtoRacism… https://t.co/1DXmbRp7tY"
2021-03-05 16:19:04,PMbustama,,Genuinely curious question is there a way to discuss giving White people something to be proud about without it sup… https://t.co/OzF2UwzYyF
2021-03-05 16:12:36,Seokjin_wff,,"Racism and homophobia against Asian people and BTS. 
Army please check and share it 💜

https://t.co/HPmM7N7THI… https://t.co/FjrrRLsWaX"
2021-03-05 15:57:06,Parisaaaaafm,,"ARMY Please watch

https://t.co/SuSMTLm70X

RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper me… https://t.co/8GrhCNjc5C"
2021-03-05 15:56:53,Parisaaaaafm,,"ARMY Please watch

https://t.co/SuSMTLm70X

RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper me… https://t.co/IA1io8tv37"
2021-03-05 15:51:00,Hadis58714780,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/VIdt7VuaXj"
2021-03-05 15:47:07,kianaamj,"New York, USA","ARMY Please watch

https://t.co/k6md8UDEtj

RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper me… https://t.co/AKNtA0FiX5"
2021-03-05 15:45:20,AA74024566,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/yOyiB4v91q"
2021-03-05 15:45:15,darkprince_56,miss me with that latinx shit,"TW/CW: violent racism.

I seem to have found the holy Grail of #racism. I'm literally shaking &amp; crying rn.… https://t.co/ABPStWTy1l"
2021-03-05 15:35:56,Fallenadya,,"Hi, Armys! as you might heard of it, there is a new drama going on between an Iranian rapper and Armys. This is the… https://t.co/oGaw5vF0BJ"
2021-03-05 15:30:41,arezoumoon77,"Seoul, Republic of Korea",RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper mehrad hidden saying harsh words about bts and… https://t.co/8ClOsgyWjc
2021-03-05 15:26:46,ddmochi_136,,"Racism and homophobia against Asian people and BTS. 
Army please check and share it 💜

https://t.co/DHhqgqYYWL… https://t.co/egEIz1Eitw"
2021-03-05 15:21:11,Sana88788808,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/wboOuUxyg6"
2021-03-05 15:19:34,Sana88788808,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/HsH4LDLSuD"
